List Date,Company,Group,Sector,Sub Sector,Country of Incorporation,Market,Ord Shares,Dep Receipts,Fixed Int,Warrants, Mkt Cap £m ,International Main Market,FCA Listing Category
6-Aug-90,ABERDEEN UK TRACKER TRUST PLC      ,8985,Equity Investment Instruments,Equity Investment Instruments,GB,Main Market,YES,NO,NO,NO,316.29606565,N,Premium
30-Apr-10,ABERFORTH GEARED INCOME TRUST PLC  ,8985,Equity Investment Instruments,Equity Investment Instruments,GB,Main Market,YES,NO,YES,NO,223.5825,N,Premium
10-Dec-90,ABERFORTH SMALLER COMPANIES TRUST  ,8985,Equity Investment Instruments,Equity Investment Instruments,GB,Main Market,YES,NO,NO,NO,1021.43153024,N,Premium
4-Nov-10,ABU DHABI ISLAMIC BANK             ,5,Company Bonds,Company Bonds,AE,Main Market,NO,NO,NO,NO,0,Y,Standard
10-Jul-14,ABZENA LTD                         ,4573,Pharmaceuticals & Biotechnology,Biotechnology,GB,AIM,YES,NO,NO,NO,77.9430864,N,
24-Mar-10,ACACIA MINING PLC                  ,1777,Mining,Gold Mining,GB,Main Market,YES,NO,NO,NO,1047.358364446,N,Premium
28-Mar-94,ACAL                               ,2797,Support Services,Industrial Suppliers,GB,Main Market,YES,NO,NO,NO,150.2467296,N,Premium
28-Jun-05,ACCESS INTELLIGENCE                ,9533,Software & Computer Services,Computer Services,GB,AIM,YES,NO,NO,NO,6.95187087,N,
24-Apr-02,ACCESSO TECHNOLOGY GRP PLC         ,9537,Software & Computer Services,Software,GB,AIM,YES,NO,NO,NO,127.5532245,N,
26-Oct-05,ACCSYS TECHNOLOGIES                ,2353,Construction & Materials,Building Materials & Fixtures,GB,AIM,YES,NO,NO,NO,52.80444834,N,
26-Nov-10,ACCUMULI PLC                       ,9535,Software & Computer Services,Internet,GB,AIM,YES,NO,NO,NO,43.9568323188,N,
9-Jul-07,ACENCIA DEBT STRATEGIES LTD        ,8985,Equity Investment Instruments,Equity Investment Instruments,GG,Main Market,YES,NO,NO,NO,119.0521592688,N,Premium
2-Nov-95,ACER INC                           ,9572,Technology Hardware & Equipment,Computer Hardware,TW,PSM,NO,YES,NO,NO,0,N,Standard
11-Feb-99,ACORN INCOME FUND                  ,8995,Nonequity Investment Instruments,Nonequity Investment Instruments,GG,Main Market,YES,NO,NO,NO,58.088837115,N,Premium
29-Oct-12,ACORN MINERALS PLC                 ,1775,Mining,General Mining,GB,Main Market,YES,NO,NO,NO,2.2325007813,N,Standard
12-Aug-08,ACRON JSC                          ,1357,Chemicals,Specialty Chemicals,RU,Main Market,NO,YES,NO,NO,884.1559818,Y,Standard
4-Oct-05,ACTA SPA                           ,2733,Electronic & Electrical Equipment,Electrical Components & Equipment,IT,AIM,YES,NO,NO,NO,0,N,
23-Dec-13,ACTION HOTELS PLC                  ,5753,Travel & Leisure,Hotels,JE,AIM,YES,NO,NO,NO,97.4405487,N,
6-Mar-98,ACTIVE ENERGY GROUP PLC            ,587,Alternative Energy,Alternative Fuels,GB,AIM,YES,NO,NO,NO,18.7996359925,N,
13-Feb-14,ACTUAL EXPERIENCE PLC              ,9537,Software & Computer Services,Software,GB,AIM,YES,NO,NO,NO,50.79952375,N,
19-Feb-14,ADAMAS FINANCE ASIA LTD            ,8775,General Financial,Specialty Finance,VG,AIM,YES,NO,NO,NO,100.9753408318,N,
26-Jul-05,ADAMS PLC                          ,8633,Real Estate Investment & Services,Real Estate Holding & Development,IM,AIM,YES,NO,NO,NO,2.6982858807,N,
15-Feb-06,ADEPT TELECOM                      ,6535,Fixed Line Telecommunications,Fixed Line Telecommunications,GB,AIM,YES,NO,NO,NO,32.142807515,N,
28-Sep-04,ADMIRAL GROUP PLC                  ,8534,Nonlife Insurance,Insurance Brokers,GB,Main Market,YES,NO,NO,NO,3586.83502514,N,Premium
10-Nov-09,ADVANCE DEVELOPING MARKETS FD LTD  ,8985,Equity Investment Instruments,Equity Investment Instruments,GG,Main Market,YES,NO,NO,NO,320.006370055,N,Premium
15-Jun-07,ADVANCE FRONTIER MARKETS FUND LTD  ,8985,Equity Investment Instruments,Equity Investment Instruments,GG,AIM,YES,NO,NO,NO,94.8976,N,
27-Aug-08,ADVANCED COMPUTER SOFTWARE GRP PLC ,9537,Software & Computer Services,Software,GB,AIM,YES,NO,NO,NO,600.3612891375,N,
30-Apr-02,ADVANCED MEDICAL SOLUTIONS GROUP   ,4537,Health Care Equipment & Services,Medical Supplies,GB,AIM,YES,NO,NO,NO,256.0091575725,N,
4-Aug-06,ADVANCED ONCOTHERAPY PLC           ,4535,Health Care Equipment & Services,Medical Equipment,GB,AIM,YES,NO,NO,NO,41.13775656,N,
20-Mar-00,ADVFN                              ,8775,General Financial,Specialty Finance,GB,AIM,YES,NO,NO,NO,20.05006695,N,
10-Dec-04,AEC EDUCATION                      ,2793,Support Services,Business Training & Employment Agencies,GB,AIM,YES,NO,NO,NO,2.080684419,N,
27-Jul-38,AECI                               ,7,Preference,Preference,ZA,Main Market,NO,NO,YES,NO,0,Y,Standard
1-May-02,AEOREMA COMMUNICATIONS PLC         ,5553,Media,Broadcasting & Entertainment,GB,AIM,YES,NO,NO,NO,4.479759405,N,
2-Oct-06,AER LINGUS GROUP PLC               ,5751,Travel & Leisure,Airlines,IE,Main Market,YES,NO,NO,NO,937.3373141095,Y,Standard
26-Jul-10,AFARAK GROUP PLC                   ,1757,Industrial Metals,Steel,FI,Main Market,YES,NO,NO,NO,65.539514585,Y,Premium
24-Apr-07,AFC ENERGY PLC                     ,587,Alternative Energy,Alternative Fuels,GB,AIM,YES,NO,NO,NO,29.400437235,N,
30-Jun-14,AFH FINANCIAL GROUP PLC            ,8771,General Financial,Asset Managers,GB,AIM,YES,NO,NO,NO,29.07127832,N,
11-May-07,AFI DEVELOPMENT PLC                ,8733,Real Estate,Real Estate Holding & Development,CY,Main Market,YES,YES,NO,NO,106.5258246955,Y,Premium
3-Dec-09,AFREN PLC                          ,533,Oil & Gas Producers,Exploration & Production,GB,Main Market,YES,NO,NO,NO,513.6410677656,N,Premium
22-Nov-10,AFRIAG PLC                         ,4535,Health Care Equipment & Services,Medical Equipment,IM,AIM,YES,NO,NO,NO,5.1787537988,N,
17-Apr-14,AFRICA OPPORTUNITY FUND LTD        ,8985,Equity Investment Instruments,Equity Investment Instruments,KY,SFM,NO,NO,NO,NO,171.8698715505,N,
12-Nov-04,AFRICAN COPPER                     ,1755,Industrial Metals,Nonferrous Metals,GB,AIM,YES,NO,NO,NO,6.6829781295,N,
25-Jun-03,AFRICAN EAGLE RESOURCES            ,1755,Industrial Metals,Nonferrous Metals,GB,AIM,YES,NO,NO,NO,0,N,
10-Feb-05,AFRICAN MINERALS LTD               ,1775,Mining,General Mining,BM,AIM,YES,NO,NO,NO,0,N,
22-Feb-13,AFRICAN POTASH LIMITED             ,1775,Mining,General Mining,GG,AIM,YES,NO,NO,NO,3.01340933,N,
17-Sep-41,AGA RANGEMASTER GROUP PLC          ,3722,Household Goods,Durable Household Products,GB,Main Market,YES,NO,NO,NO,81.6640712,N,Premium
18-Jul-14,AGGREGATED MICRO POWER HLDGS PLC   ,7537,Electricity,Alternative Electricity,GB,AIM,YES,NO,NO,NO,27.49311714,N,
28-May-14,AGGREKO                            ,2791,Support Services,Business Support Services,GB,Main Market,YES,NO,NO,NO,3852.0206608,N,Premium
5-Feb-09,AGRITERRA LTD                      ,3573,Food Producers,Farming & Fishing,GG,AIM,YES,NO,NO,NO,6.370910868,N,
15-Dec-04,AIR CHINA                          ,5751,Travel & Leisure,Airlines,CN,Main Market,YES,NO,NO,NO,1662.9225908539,Y,Standard
23-Nov-95,AIR PARTNER PLC                    ,5751,Travel & Leisure,Airlines,GB,Main Market,YES,NO,NO,NO,26.2641914575,N,Premium
21-Dec-05,AIREA PLC                          ,3726,Household Goods,Furnishings,GB,AIM,YES,NO,NO,NO,5.8959130125,N,
22-May-02,AKERS BIOSCIENCES INC              ,4537,Health Care Equipment & Services,Medical Supplies,US,AIM,YES,NO,NO,NO,4.805437,N,
26-Jun-13,AL NOOR HOSPITALS GROUP PLC        ,4533,Health Care Equipment & Services,Health Care Providers,GB,Main Market,YES,NO,NO,NO,1156.9754097,N,Premium
4-Apr-05,ALBA MINERAL RESOURCES             ,1775,Mining,General Mining,GB,AIM,YES,NO,NO,NO,1.170140958,N,
27-Jan-99,ALBION DEVELOPMENT VCT PLC         ,8985,Equity Investment Instruments,Equity Investment Instruments,GB,Main Market,YES,NO,NO,NO,35.220382,N,Premium
5-Apr-07,ALBION ENTERPRISE VCT PLC          ,8985,Equity Investment Instruments,Equity Investment Instruments,GB,Main Market,YES,NO,NO,NO,33.4036669,N,Premium
17-Jan-01,ALBION TECHNOLOGY & GENERAL VCT PLC,8985,Equity Investment Instruments,Equity Investment Instruments,GB,Main Market,YES,NO,NO,NO,62.10429764,N,Premium
4-Apr-96,ALBION VENTURE CAPITAL TST PLC     ,8985,Equity Investment Instruments,Equity Investment Instruments,GB,Main Market,YES,NO,NO,NO,32.50735356,N,Premium
6-Mar-12,ALCENTRA EUROPEAN FLTG RTE INC FD  ,8985,Equity Investment Instruments,Equity Investment Instruments,GG,Main Market,YES,NO,NO,NO,208.078056705,N,Premium
3-Aug-06,ALECTO MINERALS PLC                ,8775,General Financial,Specialty Finance,GB,AIM,YES,NO,NO,NO,5.7691819705,N,
19-Dec-12,ALENT PLC                          ,1357,Chemicals,Specialty Chemicals,GB,Main Market,YES,NO,NO,NO,854.99549256,N,Premium
4-Apr-05,ALEXANDER MINING                   ,1775,Mining,General Mining,GB,AIM,YES,NO,NO,NO,1.3910974275,N,
19-Sep-03,ALKANE ENERGY                      ,587,Alternative Energy,Alternative Fuels,GB,AIM,YES,NO,NO,NO,40.14420724,N,
2-May-13,ALL ASIA ASSET CAP LTD             ,8777,General Financial,Investment Services,VG,AIM,YES,NO,NO,NO,39.87360368,N,
1-Oct-07,ALL LEISURE GROUP PLC              ,5755,Travel & Leisure,Recreational Services,GB,AIM,YES,NO,NO,NO,14.81874648,N,
11-Oct-04,ALLERGY THERAPEUTICS               ,4577,Pharmaceuticals & Biotechnology,Pharmaceuticals,GB,AIM,YES,NO,NO,NO,100.457712845,N,
23-Dec-03,ALLIANCE PHARMA                    ,4577,Pharmaceuticals & Biotechnology,Pharmaceuticals,GB,AIM,YES,NO,NO,NO,95.64167489,N,
17-Jul-47,ALLIANCE TRUST                     ,8985,Equity Investment Instruments,Equity Investment Instruments,GB,Main Market,YES,NO,NO,NO,2653.868150194,N,Premium
4-Dec-95,ALLIANZ TECHNOLOGY TRUST PLC       ,8985,Equity Investment Instruments,Equity Investment Instruments,GB,Main Market,YES,NO,NO,NO,142.86615618,N,Premium
25-Jun-14,ALLIED MINDS LTD                   ,8775,General Financial,Specialty Finance,GB,Main Market,YES,NO,NO,NO,782.77642493,N,Premium
16-May-02,ALLOCATE SOFTWARE PLC              ,9537,Software & Computer Services,Software,GB,AIM,YES,NO,NO,NO,106.17735619,N,
9-Jun-99,ALPHA BANK A E                     ,8355,Banks,Banks,GR,Main Market,NO,YES,NO,NO,0,Y,Standard
29-Nov-05,ALPHA PYRENEES TRUST               ,8633,Real Estate Investment & Services,Real Estate Holding & Development,GG,Main Market,YES,NO,NO,NO,2.1386,N,Standard
23-Mar-12,ALPHA REAL TRUST LTD               ,8633,Real Estate Investment & Services,Real Estate Holding & Development,GG,SFM,NO,NO,NO,NO,51.0659877,N,
17-Dec-04,ALPHA RETURNS GRP PLC              ,2793,Support Services,Business Training & Employment Agencies,GB,AIM,YES,NO,NO,NO,24.4574161325,N,
25-Mar-04,ALTERNATIVE ASSET OPPORTUNITIES    ,8995,Nonequity Investment Instruments,Nonequity Investment Instruments,GG,Main Market,YES,NO,NO,NO,32.04,N,Premium
2-Jun-10,ALTERNATIVE ENERGY LTD             ,583,Alternative Energy,Renewable Energy Equipment,SG,AIM,YES,NO,NO,NO,10.5909977093,N,
18-Feb-05,ALTERNATIVE NETWORKS               ,6535,Fixed Line Telecommunications,Fixed Line Telecommunications,GB,AIM,YES,NO,NO,NO,253.7810453475,N,
31-Dec-01,ALTIN AG                           ,8995,Nonequity Investment Instruments,Nonequity Investment Instruments,CH,Main Market,YES,NO,NO,NO,135.8858599371,Y,Standard
7-Nov-05,ALTITUDE GROUP PLC                 ,2791,Support Services,Business Support Services,GB,AIM,YES,NO,NO,NO,6.8399784,N,
10-Mar-05,ALTONA ENERGY PLC                  ,1771,Mining,Coal,GB,AIM,YES,NO,NO,NO,7.01656853,N,
30-Jun-09,ALTUS RESOURCE CAPITAL LTD         ,8985,Equity Investment Instruments,Equity Investment Instruments,GG,SFM,NO,NO,NO,NO,43.6915248,N,
30-May-86,ALUMASC GROUP                      ,2353,Construction & Materials,Building Materials & Fixtures,GB,Main Market,YES,NO,NO,NO,43.18039898,N,Premium
30-Nov-10,ALUMINIUM BAHRAIN BSC              ,1753,Industrial Metals,Aluminum,BH,Main Market,NO,YES,NO,NO,242.5059,Y,Standard
15-Dec-04,AMARA MINING PLC                   ,1777,Mining,Gold Mining,GB,AIM,YES,NO,NO,NO,47.702074915,N,
3-Aug-04,AMATI VCT 2 PLC                    ,8985,Equity Investment Instruments,Equity Investment Instruments,GB,Main Market,YES,NO,NO,NO,33.08144754,N,Premium
29-Mar-05,AMATI VCT PLC                      ,8985,Equity Investment Instruments,Equity Investment Instruments,GB,Main Market,YES,NO,NO,NO,41.26925908,N,Premium
19-Feb-99,AMBRIAN PLC                        ,1755,Industrial Metals,Nonferrous Metals,GB,AIM,YES,NO,NO,NO,9.350350625,N,
23-Dec-82,AMEC FOSTER WHEELER PLC            ,573,"Oil Equipment, Services & Distribution",Oil Equipment & Services,GB,Main Market,YES,NO,NO,NO,3293.17185405,N,Premium
25-Nov-04,AMEDEO RESOURCES PLC               ,8775,General Financial,Specialty Finance,GB,AIM,YES,NO,NO,NO,14.694228909,N,
5-Dec-11,AMERICAN MEDICAL INTERNATIONAL INC ,6,Debentures & Loans,Debentures & Loans,US,Main Market,NO,NO,YES,NO,0,Y,Standard
16-Nov-04,AMERISUR RESOURCES PLC             ,533,Oil & Gas Producers,Exploration & Production,GB,AIM,YES,NO,NO,NO,451.440854795,N,
5-Dec-05,AMIAD WATER SYSTEMS LTD            ,2757,Industrial Engineering,Industrial Machinery,IL,AIM,YES,NO,NO,NO,26.0660862,N,
6-Jul-95,AMINEX                             ,533,Oil & Gas Producers,Exploration & Production,IE,Main Market,YES,NO,NO,NO,50.98154796,Y,Premium
9-Jun-04,AMINO TECHNOLOGIES                 ,9578,Technology Hardware & Equipment,Telecommunications Equipment,GB,AIM,YES,NO,NO,NO,71.5301535,N,
28-Sep-98,AMLIN                              ,8536,Nonlife Insurance,Property & Casualty Insurance,GB,Main Market,YES,NO,NO,NO,2428.635865458,N,Premium
23-Aug-05,AMPHION INNOVATIONS PLC            ,8775,General Financial,Specialty Finance,IM,AIM,YES,NO,NO,NO,1.6624825538,N,
25-Nov-04,AMTEK AUTO                         ,3355,Automobiles & Parts,Auto Parts,IN,Main Market,NO,YES,NO,NO,0,Y,Standard
15-Mar-06,AMUR MINERALS CORP                 ,1775,Mining,General Mining,VG,AIM,YES,NO,NO,NO,44.671018035,N,
10-Oct-91,ANA HLDGS INC                      ,5751,Travel & Leisure,Airlines,JP,Main Market,YES,YES,NO,NO,4997.6909672456,Y,Standard
2-Oct-07,ANDES ENERGIA PLC                  ,7535,Electricity,Electricity,GB,AIM,YES,NO,NO,NO,212.359667135,N,
24-Dec-01,ANDREWS SYKES GROUP                ,2791,Support Services,Business Support Services,GB,AIM,YES,NO,NO,NO,129.95590215,N,
17-Mar-04,ANGLE PLC                          ,2791,Support Services,Business Support Services,GB,AIM,YES,NO,NO,NO,28.90911189,N,
6-Jun-88,ANGLESEY MINING                    ,1775,Mining,General Mining,GB,Main Market,YES,NO,NO,NO,4.6174814663,N,Premium
24-May-99,ANGLO AMERICAN                     ,1775,Mining,General Mining,GB,Main Market,YES,NO,NO,NO,16872.61131066,N,Premium
29-Jul-05,ANGLO ASIAN MINING PLC             ,1775,Mining,General Mining,GB,AIM,YES,NO,NO,NO,7.399063145,N,
30-Dec-96,ANGLO PACIFIC GROUP                ,1775,Mining,General Mining,GB,Main Market,YES,NO,NO,NO,115.95396,N,Premium
24-Apr-85,ANGLO-EASTERN PLANTATIONS          ,3573,Food Producers,Farming & Fishing,GB,Main Market,YES,NO,NO,NO,221.8683096,N,Premium
15-Jan-08,ANIMALCARE GROUP PLC               ,4577,Pharmaceuticals & Biotechnology,Pharmaceuticals,GB,AIM,YES,NO,NO,NO,35.1157653,N,
19-Apr-84,ANITE PLC                          ,9533,Software & Computer Services,Computer Services,GB,Main Market,YES,NO,NO,NO,237.89418615,N,Premium
28-Nov-06,ANPARIO PLC                        ,4573,Pharmaceuticals & Biotechnology,Biotechnology,GB,AIM,YES,NO,NO,NO,57.1299246,N,
5-Jul-82,ANTOFAGASTA                        ,1775,Mining,General Mining,GB,Main Market,YES,NO,YES,NO,7418.571629875,N,Premium
30-Jul-03,ANTRIM ENERGY INC                  ,533,Oil & Gas Producers,Exploration & Production,CA,AIM,YES,NO,NO,NO,4.38736125,N,
13-Dec-96,AO TATNEFT                         ,537,Oil & Gas Producers,Integrated Oil & Gas,RU,Main Market,NO,YES,NO,NO,5707.4586782714,Y,Standard
3-Mar-14,AO WORLD PLC                       ,5379,General Retailers,Specialty Retailers,GB,Main Market,YES,NO,NO,NO,1179.789472062,N,Premium
18-Dec-02,AORTECH INTERNATIONAL              ,4535,Health Care Equipment & Services,Medical Equipment,GB,AIM,YES,NO,NO,NO,1.52299917,N,
12-Nov-02,APC TECHNOLOGY GROUP PLC           ,2733,Electronic & Electrical Equipment,Electrical Components & Equipment,GB,AIM,YES,NO,NO,NO,17.99700414,N,
12-Feb-08,API GROUP                          ,2723,General Industrials,Containers & Packaging,GB,AIM,YES,NO,NO,NO,36.45564675,N,
20-Nov-13,APPLIED GRAPHENE MATERIALS PLC     ,1357,Chemicals,Specialty Chemicals,GB,AIM,YES,NO,NO,NO,32.08258179,N,
9-Feb-10,APR ENERGY PLC                     ,2791,Support Services,Business Support Services,GB,Main Market,YES,NO,NO,NO,174.22302498,N,Standard
20-Mar-06,AQUA BOUNTY TECHNOLOGIES INC       ,4573,Pharmaceuticals & Biotechnology,Biotechnology,US,AIM,YES,NO,NO,NO,24.54107633,N,
17-Jul-02,AQUARIUS PLATINUM LIMITED          ,1779,Mining,Platinum & Precious Metals,BM,Main Market,YES,NO,NO,NO,69.787737885,Y,Premium
3-Dec-97,ARAB INSURANCE GROUP(ARIG)         ,8538,Nonlife Insurance,Reinsurance,BH,Main Market,NO,YES,NO,NO,0,Y,Standard
15-Dec-97,ARAB POTASH CO                     ,1353,Chemicals,Commodity Chemicals,JO,Main Market,NO,YES,NO,NO,0,Y,Standard
27-Jun-05,ARBUTHNOT BANKING GROUP PLC        ,8775,General Financial,Specialty Finance,GB,AIM,YES,NO,NO,NO,201.38146396,N,
26-Jun-06,ARC CAPITAL HLDGS LTD              ,8985,Equity Investment Instruments,Equity Investment Instruments,KY,AIM,YES,NO,NO,NO,38.0546976335,N,
4-Dec-00,ARCONTECH GROUP PLC                ,9537,Software & Computer Services,Software,GB,AIM,YES,NO,NO,NO,2.6884057865,N,
19-Jul-06,ARDEN PARTNERS PLC                 ,8777,General Financial,Investment Services,GB,AIM,YES,NO,NO,NO,10.6049952,N,
18-Nov-08,ARGO GROUP LTD                     ,8775,General Financial,Specialty Finance,IM,AIM,YES,NO,NO,NO,7.07999187,N,
29-Jul-10,ARGOS RESOURCES LTD                ,533,Oil & Gas Producers,Exploration & Production,FK,AIM,YES,NO,NO,NO,13.4051437625,N,
25-May-06,ARIAN SILVER CORP                  ,1779,Mining,Platinum & Precious Metals,VG,AIM,YES,NO,NO,NO,11.67263475,N,
28-Jul-05,ARIANA RESOURCES                   ,1777,Mining,Gold Mining,GB,AIM,YES,NO,NO,NO,5.812345269,N,
24-Apr-98,ARM HLDGS                          ,9576,Technology Hardware & Equipment,Semiconductors,GB,Main Market,YES,NO,NO,NO,13640.9796436,N,Premium
13-Feb-06,ARMADALE CAPITAL PLC               ,7577,"Gas, Water & Multiutilities",Water,GB,AIM,YES,NO,NO,NO,2.7234357592,N,
18-Jul-02,BURBERRY GROUP                     ,3763,Personal Goods,Clothing & Accessories,GB,Main Market,YES,NO,NO,NO,7187.70527168,N,Premium
21-Oct-09,BURFORD CAPITAL LTD                ,8985,Equity Investment Instruments,Equity Investment Instruments,GG,AIM,YES,NO,NO,NO,247.2443175225,N,
26-Mar-12,BUSHVELD MINERALS LTD              ,1775,Mining,General Mining,GG,AIM,YES,NO,NO,NO,14.1502877445,N,
31-Mar-11,BWIN.PARTY DIGITAL ENTERTAINMENT   ,5752,Travel & Leisure,Gambling,GI,Main Market,YES,NO,NO,NO,945.684739912,Y,Premium
19-Feb-09,BYBLOS BANK                        ,8355,Banks,Banks,LB,Main Market,NO,YES,NO,NO,45.692153325,Y,Standard
6-Jul-05,BYOTROL PLC                        ,1357,Chemicals,Specialty Chemicals,GB,AIM,YES,NO,NO,NO,8.4388038375,N,
19-May-04,C&C GROUP                          ,3535,Beverages,Distillers & Vintners,IE,Main Market,YES,NO,NO,NO,976.179965706,Y,Premium
15-Sep-94,C.G.I.S. GROUP                     ,6,Debentures & Loans,Debentures & Loans,GB,Main Market,NO,NO,YES,NO,0,N,Standard
23-Oct-14,C4X DISCOVERY HLDG PLC             ,4573,Pharmaceuticals & Biotechnology,Biotechnology,GB,AIM,YES,NO,NO,NO,27.5798095,N,
24-Mar-14,CA SPERATI PLC                     ,3763,Personal Goods,Clothing & Accessories,GB,AIM,YES,NO,NO,NO,1.1832755025,N,
28-Oct-81,CABLE & WIRELESS COMMUNICATIONS    ,6535,Fixed Line Telecommunications,Fixed Line Telecommunications,GB,Main Market,YES,NO,NO,NO,1380.4562025032,N,Premium
23-Jun-08,CADOGAN PETROLEUM                  ,533,Oil & Gas Producers,Exploration & Production,GB,Main Market,YES,NO,NO,NO,23.1091668,N,Standard
20-Oct-61,CAFFYNS                            ,5379,General Retailers,Specialty Retailers,GB,Main Market,YES,NO,YES,NO,16.00984635,N,Premium
13-Jul-12,CANACCORD GENUITY GROUP INC        ,8777,General Financial,Investment Services,CA,Main Market,YES,NO,NO,NO,398.8444902,Y,Standard
27-Feb-95,CANADIAN GENERAL INVESTMENTS       ,8985,Equity Investment Instruments,Equity Investment Instruments,CA,Main Market,YES,NO,NO,NO,223.761884775,Y,Standard
4-Apr-14,CANADIAN OVERSEAS PETROLEUM LTD    ,533,Oil & Gas Producers,Exploration & Production,CA,Main Market,YES,NO,NO,NO,19.6647216575,Y,Standard
9-Nov-52,CANADIAN PACIFIC RAILWAYS          ,6,Debentures & Loans,Debentures & Loans,CA,Main Market,NO,NO,YES,NO,0,Y,Standard
12-Dec-84,CANDOVER INVESTMENTS               ,8985,Equity Investment Instruments,Equity Investment Instruments,GB,Main Market,YES,NO,NO,NO,86.9773877,N,Premium
17-Jun-11,CAPE PLC                           ,573,"Oil Equipment, Services & Distribution",Oil Equipment & Services,JE,Main Market,YES,NO,NO,NO,290.529846555,N,Premium
21-Aug-91,CAPITA PLC                         ,2791,Support Services,Business Support Services,GB,Main Market,YES,NO,NO,NO,7073.18484432,N,Premium
